# 郡山駅周辺ネットワークトポロジ
# 変換元: 郡山駅周辺モデル座標とドロネーリンク情報.txt
# ノード数: 221, リンク数: 602
# 点在地区(type=0): 容量8, 集中地区(type=1): 容量4
# ※2026-01-18更新: 容量2倍に変更（点在=8, 集中=4）
# lTubeLength: 最小距離(206.2m)基準の相対値
# distance: ユークリッド距離 (m)
#
NODES 221

# NODE id x y district_type
NODE 0 0.853456 0.375929 0
NODE 1 0.753875 0.392061 0
NODE 2 0.819746 0.254152 0
NODE 3 0.767669 0.272181 0
NODE 4 0.708308 0.298355 0
NODE 5 0.721094 0.167009 0
NODE 6 0.685601 0.167484 0
NODE 7 0.701643 0.051716 0
NODE 8 0.655068 0.058121 0
NODE 9 0.603456 0.087696 0
NODE 10 0.638872 0.192630 0
NODE 11 0.580905 0.152064 0
NODE 12 0.608571 0.292820 0
NODE 13 0.543475 0.231298 0
NODE 14 0.524954 0.165032 0
NODE 15 0.526116 0.064210 0
NODE 16 0.441491 0.128183 0
NODE 17 0.455828 0.000949 0
NODE 18 0.413903 0.184169 0
NODE 19 0.393831 0.097738 0
NODE 20 0.353301 0.197137 0
NODE 21 0.305952 0.050688 0
NODE 22 0.325093 0.123359 0
NODE 23 0.290220 0.193263 0
NODE 24 0.220319 0.000000 0
NODE 25 0.184671 0.143603 0
NODE 26 0.161578 0.037561 0
NODE 27 0.308664 0.298672 0
NODE 28 0.222412 0.247430 0
NODE 29 0.183199 0.262059 0
NODE 30 0.242250 0.331488 0
NODE 31 0.202263 0.372845 0
NODE 32 0.187926 0.442670 0
NODE 33 0.151116 0.361695 0
NODE 34 0.114848 0.376325 0
NODE 35 0.089120 0.500949 0
NODE 36 0.076565 0.460462 0
NODE 37 0.012322 0.464099 0
NODE 38 0.008447 0.399810 0
NODE 39 0.040220 0.532184 0
NODE 40 0.076178 0.613791 0
NODE 41 0.058664 0.675550 0
NODE 42 0.049907 0.629843 0
NODE 43 0.070443 0.575597 0
NODE 44 0.000000 0.630792 0
NODE 45 0.094157 0.675945 0
NODE 46 0.033246 0.752965 0
NODE 47 0.126085 0.824529 0
NODE 48 0.102139 0.834651 0
NODE 49 0.154293 0.878776 0
NODE 50 0.179402 0.856081 0
NODE 51 0.225124 0.796853 0
NODE 52 0.185291 0.815198 0
NODE 53 0.220242 0.865491 0
NODE 54 0.272164 0.913490 0
NODE 55 0.297660 0.858374 0
NODE 56 0.195521 0.949786 0
NODE 57 0.322613 0.911988 0
NODE 58 0.302774 0.939190 0
NODE 59 0.272241 0.975170 0
NODE 60 0.384299 0.930255 0
NODE 61 0.376472 1.000000 0
NODE 62 0.417080 0.877748 0
NODE 63 0.441801 0.939507 0
NODE 64 0.499535 0.979124 0
NODE 65 0.519219 0.936897 0
NODE 66 0.547427 0.848727 0
NODE 67 0.594699 0.912146 0
NODE 68 0.604076 0.854974 0
NODE 69 0.673435 0.884311 0
NODE 70 0.745893 0.850783 0
NODE 71 0.789910 0.912383 0
NODE 72 0.816259 0.847936 0
NODE 73 0.889492 0.699747 0
NODE 74 0.861981 0.754547 0
